Game,Group,transfer,freqency
Trust,Placebo,0,0.10416667
Trust,Placebo,1,0.02083333
Trust,Placebo,2,0.0625
Trust,Placebo,3,0.08333333
Trust,Placebo,4,0.10416667
Trust,Placebo,5,0.02083333
Trust,Placebo,6,0.10416667
Trust,Placebo,7,0
Trust,Placebo,8,0.04166667
Trust,Placebo,9,0.10416667
Trust,Placebo,10,0.02083333
Trust,Placebo,11,0.10416667
Trust,Placebo,12,0.22916667
Trust,Oxytocin,0,0.04166667
Trust,Oxytocin,1,0.02083333
Trust,Oxytocin,2,0.10416667
Trust,Oxytocin,3,0.04166667
Trust,Oxytocin,4,0.0625
Trust,Oxytocin,5,0.02083333
Trust,Oxytocin,6,0.0625
Trust,Oxytocin,7,0.02083333
Trust,Oxytocin,8,0.0625
Trust,Oxytocin,9,0.08333333
Trust,Oxytocin,10,0.04166667
Trust,Oxytocin,11,0.02083333
Trust,Oxytocin,12,0.41666667
Risk,Placebo,0,0.02083333
Risk,Placebo,1,0.01041667
Risk,Placebo,2,0.03125
Risk,Placebo,3,0.02083333
Risk,Placebo,4,0.03125
Risk,Placebo,5,0.02083333
Risk,Placebo,6,0.08333333
Risk,Placebo,7,0.05208333
Risk,Placebo,8,0.07291667
Risk,Placebo,9,0.05208333
Risk,Placebo,10,0.0625
Risk,Placebo,11,0.03125
Risk,Placebo,12,0.51041667
Risk,Oxytocin,0,0.05208333
Risk,Oxytocin,1,0.01041667
Risk,Oxytocin,2,0.02083333
Risk,Oxytocin,3,0.02083333
Risk,Oxytocin,4,0.05208333
Risk,Oxytocin,5,0.01041667
Risk,Oxytocin,6,0.04166667
Risk,Oxytocin,7,0
Risk,Oxytocin,8,0.04166667
Risk,Oxytocin,9,0.08333333
Risk,Oxytocin,10,0.03125
Risk,Oxytocin,11,0.0625
Risk,Oxytocin,12,0.57291667
